timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-05-12 | 10:14:36,28.7,72.0,0.23583984375,0.054,0.0,-55
2025-05-12 | 10:14:37,28.7,71.9,0.25732421875,0.054,0.0,-57
2025-05-12 | 10:14:40,28.8,71.8,0.3095703125,0.054,0.0,-64
2025-05-12 | 10:14:42,28.8,71.6,0.308837890625,0.054,0.0,-59
2025-05-12 | 10:14:43,28.8,71.6,1.004150390625,0.054,0.0,-60
2025-05-12 | 10:14:47,28.8,71.4,0.15576171875,0.054,0.0,-57
2025-05-12 | 10:14:48,28.9,71.3,0.1201171875,0.054,0.0,-58
2025-05-12 | 10:14:51,28.9,71.1,0.343505859375,0.054,0.0,-59
2025-05-12 | 10:14:52,28.9,70.9,0.3603515625,0.054,0.0,-56
2025-05-12 | 10:14:54,28.9,71.0,0.263427734375,0.054,0.0,-60
2025-05-12 | 10:14:57,28.9,70.9,0.2734375,0.054,0.0,-58
2025-05-12 | 10:14:58,29.0,70.7,0.236328125,0.054,0.0,-60
2025-05-12 | 10:15:00,29.0,70.7,0.260498046875,0.054,0.0,-62
2025-05-12 | 10:15:02,29.0,70.7,0.26806640625,0.054,0.0,-55
2025-05-12 | 10:15:07,29.0,70.6,0.219482421875,0.054,0.0,-60
2025-05-12 | 10:15:08,29.0,70.6,0.24072265625,0.054,0.0,-58
2025-05-12 | 10:15:10,29.1,70.6,0.23583984375,0.054,0.0,-58
2025-05-12 | 10:15:13,29.1,70.6,0.242431640625,0.054,0.0,-61
2025-05-12 | 10:15:14,29.1,70.4,0.2353515625,0.054,0.0,-58
2025-05-12 | 10:15:17,29.1,70.3,0.242431640625,0.054,0.0,-62
2025-05-12 | 10:15:18,29.0,70.3,0.2353515625,0.054,0.0,-60
2025-05-12 | 10:15:20,29.1,70.3,0.15966796875,0.054,0.0,-57
2025-05-12 | 10:15:21,29.1,70.3,0.175048828125,0.054,0.0,-65
2025-05-12 | 10:15:23,29.1,70.2,0.1220703125,0.054,0.0,-62
2025-05-12 | 10:15:25,29.2,70.2,0.292236328125,0.054,0.0,-58
2025-05-12 | 10:15:29,29.1,70.0,0.280517578125,0.054,0.0,-62
2025-05-12 | 10:15:30,29.2,70.1,0.17578125,0.054,0.0,-57
2025-05-12 | 10:15:32,29.2,70.1,0.41650390625,0.054,0.0,-62
2025-05-12 | 10:15:34,29.2,70.1,0.364013671875,0.054,0.0,-62
2025-05-12 | 10:15:37,29.2,69.9,0.233154296875,0.054,0.0,-58
2025-05-12 | 10:15:39,29.2,69.8,0.157470703125,0.054,0.0,-61
2025-05-12 | 10:15:41,29.2,69.9,0.155029296875,0.054,0.0,-57
2025-05-12 | 10:15:43,29.2,69.9,0.178466796875,0.054,0.0,-61
2025-05-12 | 10:15:45,29.2,69.8,0.18505859375,0.054,0.0,-62
2025-05-12 | 10:15:47,29.3,69.8,0.196044921875,0.054,0.0,-58
2025-05-12 | 10:15:49,29.2,69.8,0.26708984375,0.054,0.0,-61
2025-05-12 | 10:15:51,29.3,69.8,0.34716796875,0.054,0.0,-61
2025-05-12 | 10:15:54,29.3,69.7,0.16064453125,0.054,0.0,-61
2025-05-12 | 10:15:55,29.3,69.7,0.120849609375,0.054,0.0,-59
2025-05-12 | 10:15:58,29.3,69.7,0.306396484375,0.054,0.0,-59
2025-05-12 | 10:16:02,29.3,69.5,0.30810546875,0.054,0.0,-58
2025-05-12 | 10:16:07,29.3,69.7,0.2890625,0.054,0.0,-57
2025-05-12 | 10:16:09,29.3,69.5,0.3515625,0.054,0.0,-57
2025-05-12 | 10:16:11,29.3,69.5,0.165771484375,0.054,0.0,-59
2025-05-12 | 10:16:13,29.4,69.5,0.198486328125,0.054,0.0,-58
2025-05-12 | 10:16:15,29.4,69.5,0.332275390625,0.054,0.0,-56
2025-05-12 | 10:16:17,29.4,69.5,0.3212890625,0.054,0.0,-61
2025-05-12 | 10:16:19,29.4,69.4,0.332275390625,0.054,0.0,-58
2025-05-12 | 10:16:21,29.4,69.4,0.342529296875,0.054,0.0,-61
2025-05-12 | 10:16:23,29.4,69.4,0.28515625,0.054,0.0,-57
2025-05-12 | 10:16:25,29.4,69.3,0.193359375,0.054,0.0,-60
2025-05-12 | 10:16:28,29.4,69.2,0.25,0.054,0.0,-63
2025-05-12 | 10:16:30,29.4,69.3,0.40380859375,0.054,0.0,-59
2025-05-12 | 10:16:33,29.4,69.2,0.162109375,0.054,0.0,-62
2025-05-12 | 10:16:35,29.4,69.2,0.184326171875,0.054,0.0,-56
2025-05-12 | 10:16:37,29.4,69.2,0.145751953125,0.054,0.0,-57
2025-05-12 | 10:16:40,29.4,69.2,0.293701171875,0.054,0.0,-55
2025-05-12 | 10:16:42,29.5,69.2,0.24853515625,0.054,0.0,-60
2025-05-12 | 10:16:44,29.5,69.1,0.236083984375,0.054,0.0,-57
2025-05-12 | 10:16:46,29.5,69.1,0.234375,0.054,0.0,-60
2025-05-12 | 10:16:48,29.5,69.2,0.164794921875,0.054,0.0,-57
2025-05-12 | 10:16:50,29.5,69.1,0.16943359375,0.054,0.0,-59
2025-05-12 | 10:16:52,29.5,69.0,0.16357421875,0.054,0.0,-60
2025-05-12 | 10:16:55,29.5,69.0,0.265869140625,0.054,0.0,-58
2025-05-12 | 12:14:01,32.1,60.2,0.43994140625,0.054,0.0,-57
2025-05-12 | 12:14:03,32.0,60.1,0.471923828125,0.054,0.0,-57
2025-05-12 | 12:14:05,32.1,60.3,0.2685546875,0.054,0.0,-58
2025-05-12 | 12:14:06,32.1,60.2,0.1923828125,0.054,0.0,-58
2025-05-12 | 12:14:09,32.0,60.2,0.574951171875,0.054,0.0,-57
2025-05-12 | 12:14:11,32.1,60.3,0.2529296875,0.054,0.0,-58
2025-05-12 | 12:14:13,32.1,60.2,0.27685546875,0.054,0.0,-57
2025-05-12 | 12:14:15,32.1,60.2,0.25439453125,0.054,0.0,-57
2025-05-12 | 12:14:19,32.1,60.1,0.236328125,0.054,0.0,-60
2025-05-12 | 12:14:20,32.1,60.1,0.240478515625,0.054,0.0,-58
2025-05-12 | 12:14:22,32.1,60.3,0.271484375,0.054,0.0,-56
2025-05-12 | 12:14:23,32.1,60.1,0.253173828125,0.054,0.0,-58
2025-05-12 | 12:14:25,32.1,60.1,0.2724609375,0.054,0.0,-58
2025-05-12 | 12:14:27,32.1,60.2,0.25537109375,0.054,0.0,-60
2025-05-12 | 12:14:29,32.1,60.0,0.2890625,0.054,0.0,-59
2025-05-12 | 12:14:32,32.1,60.1,0.310302734375,0.054,0.0,-59
2025-05-12 | 12:14:38,32.0,60.2,0.3037109375,0.054,0.0,-58
2025-05-12 | 12:14:40,32.0,60.2,0.252685546875,0.054,0.0,-58
2025-05-12 | 12:14:42,32.1,60.1,0.330810546875,0.054,0.0,-59
2025-05-12 | 12:14:44,32.0,60.2,0.326171875,0.054,0.0,-59
2025-05-12 | 12:14:46,32.1,60.1,0.1630859375,0.054,0.0,-59
2025-05-12 | 12:14:49,32.0,60.1,0.1240234375,0.054,0.0,-60
2025-05-12 | 12:14:54,32.1,60.1,0.341552734375,0.054,0.0,-59
2025-05-12 | 12:14:56,32.1,60.1,0.374755859375,0.054,0.0,-59
2025-05-12 | 12:14:58,32.1,60.1,0.372802734375,0.054,0.0,-59
2025-05-12 | 12:15:01,32.1,59.9,0.55224609375,0.054,0.0,-58
2025-05-12 | 12:15:03,32.1,60.0,0.384033203125,0.054,0.0,-59
2025-05-12 | 12:15:04,32.1,60.2,0.197265625,0.054,0.0,-59
2025-05-12 | 12:15:08,32.1,60.1,0.24951171875,0.054,0.0,-59
2025-05-12 | 12:15:13,32.1,60.0,0.245361328125,0.054,0.0,-60
2025-05-12 | 12:15:17,32.1,60.1,0.259521484375,0.054,0.0,-59
2025-05-12 | 12:15:29,32.1,60.1,0.369384765625,0.054,0.0,-60
2025-05-12 | 12:15:31,32.1,60.1,0.384765625,0.054,0.0,-56
2025-05-12 | 12:15:33,32.1,60.0,0.409423828125,0.054,0.0,-59
2025-05-12 | 12:15:35,32.1,59.9,0.292724609375,0.054,0.0,-57
2025-05-12 | 12:15:37,32.1,60.1,0.289794921875,0.054,0.0,-58
2025-05-12 | 12:15:39,32.1,60.0,0.435546875,0.054,0.0,-58
2025-05-12 | 12:15:41,32.1,60.1,0.324462890625,0.054,0.0,-57
2025-05-12 | 12:15:44,32.1,60.0,0.28857421875,0.054,0.0,-57
2025-05-12 | 12:15:46,32.1,60.0,0.288330078125,0.054,0.0,-57
2025-05-12 | 12:15:49,32.1,60.0,0.315185546875,0.054,0.0,-58
2025-05-12 | 12:15:53,32.1,59.9,0.28466796875,0.054,0.0,-59
2025-05-12 | 12:15:57,32.1,60.1,0.357421875,0.054,0.0,-59
2025-05-12 | 12:15:58,32.1,60.0,0.253662109375,0.054,0.0,-58
2025-05-12 | 12:16:01,32.1,59.9,0.3603515625,0.054,0.0,-59
2025-05-12 | 12:16:02,32.1,60.1,0.194580078125,0.054,0.0,-59
2025-05-12 | 12:16:05,32.1,60.0,0.291259765625,0.054,0.0,-57
2025-05-12 | 12:16:07,32.1,60.0,0.40576171875,0.054,0.0,-59
2025-05-12 | 12:16:09,32.1,59.8,0.365234375,0.054,0.0,-59
2025-05-12 | 12:16:11,32.1,60.0,0.228515625,0.054,0.0,-57
2025-05-12 | 12:16:15,32.1,59.9,0.31298828125,0.054,0.0,-59
2025-05-12 | 12:16:17,32.1,60.0,0.177978515625,0.054,0.0,-59
2025-05-12 | 12:16:19,32.1,59.9,0.15869140625,0.054,0.0,-59
2025-05-12 | 12:16:21,32.1,60.0,0.31396484375,0.054,0.0,-57
2025-05-12 | 12:16:23,32.1,60.0,0.2099609375,0.054,0.0,-59
2025-05-12 | 12:16:25,32.1,59.8,0.18994140625,0.054,0.0,-59
2025-05-12 | 12:16:27,32.1,59.8,0.287841796875,0.054,0.0,-58
2025-05-12 | 12:16:30,32.1,59.9,0.29638671875,0.054,0.0,-57
2025-05-12 | 12:16:32,32.1,59.8,0.1787109375,0.054,0.0,-59
2025-05-12 | 12:16:34,32.1,59.8,0.208740234375,0.054,0.0,-59
2025-05-12 | 12:16:36,32.1,59.9,0.263427734375,0.054,0.0,-58
2025-05-12 | 12:16:41,32.1,59.9,0.367919921875,0.054,0.0,-58
2025-05-12 | 12:16:45,32.1,59.8,0.26220703125,0.054,0.0,-59
2025-05-12 | 12:16:49,32.1,59.9,0.36181640625,0.054,0.0,-59
2025-05-12 | 12:16:51,32.1,59.9,0.355224609375,0.054,0.0,-58
2025-05-12 | 12:17:05,32.1,59.8,0.280029296875,0.054,0.0,-57
2025-05-12 | 12:17:09,32.1,59.8,0.26513671875,0.054,0.0,-58
2025-05-12 | 12:17:11,32.1,59.9,0.286376953125,0.054,0.0,-58
2025-05-12 | 12:17:13,32.1,59.7,0.26318359375,0.054,0.0,-58
2025-05-12 | 12:17:15,32.1,59.8,0.299072265625,0.054,0.0,-59
2025-05-12 | 12:17:18,32.1,59.8,0.267822265625,0.054,0.0,-58
2025-05-12 | 12:17:20,32.1,59.9,0.2734375,0.054,0.0,-58
2025-05-12 | 12:17:23,32.1,59.8,0.3369140625,0.054,0.0,-58
2025-05-12 | 12:17:27,32.1,59.8,0.35888671875,0.054,0.0,-58
2025-05-12 | 12:17:29,32.1,59.8,0.40283203125,0.054,0.0,-58
2025-05-12 | 12:17:31,32.1,59.8,0.361572265625,0.054,0.0,-57
2025-05-12 | 12:17:43,32.1,59.7,0.22802734375,0.054,0.0,-58
2025-05-12 | 12:17:45,32.1,59.8,0.316650390625,0.054,0.0,-58
2025-05-12 | 12:17:48,32.1,59.7,0.17822265625,0.054,0.0,-58
2025-05-12 | 12:17:50,32.1,59.7,0.3681640625,0.054,0.0,-58
2025-05-12 | 12:17:52,32.1,59.7,0.364501953125,0.054,0.0,-58
2025-05-12 | 12:17:56,32.1,59.7,0.35595703125,0.054,0.0,-57
2025-05-12 | 12:17:58,32.1,59.7,0.355712890625,0.054,0.0,-59
2025-05-12 | 12:18:01,32.1,59.7,0.361572265625,0.054,0.0,-58
2025-05-12 | 12:18:04,32.1,59.8,0.35986328125,0.054,0.0,-57
2025-05-12 | 12:18:06,32.1,59.7,0.356689453125,0.054,0.0,-59
2025-05-12 | 12:18:08,32.1,59.7,0.3544921875,0.054,0.0,-58
2025-05-12 | 12:18:14,32.1,59.8,0.359619140625,0.054,0.0,-58
2025-05-12 | 12:18:18,32.1,59.6,0.3154296875,0.054,0.0,-58
2025-05-12 | 12:18:22,32.1,59.7,0.409423828125,0.054,0.0,-58
2025-05-12 | 12:18:24,32.1,59.6,0.242431640625,0.054,0.0,-58
